Tanggal,Project ID,Project Name,Amount
2025-07-23,270,MNP x FIRE2,Rp 0
2025-07-24,103,MNP x FIRE,Rp 0
2025-07-24,270,MNP x FIRE2,Rp 0
2025-07-25,103,MNP x FIRE,Rp 0
2025-07-25,270,MNP x FIRE2,Rp 0
2025-07-26,103,MNP x FIRE,Rp 0
2025-07-26,270,MNP x FIRE2,Rp 0
2025-07-27,103,MNP x FIRE,Rp 0
2025-07-27,270,MNP x FIRE2,Rp 0
2025-07-28,103,MNP x FIRE,Rp 0
2025-07-28,270,MNP x FIRE2,Rp 0
2025-07-29,103,MNP x FIRE,Rp 0
2025-07-29,270,MNP x FIRE2,Rp 0
2025-07-30,103,MNP x FIRE,Rp 0
2025-07-30,270,MNP x FIRE2,Rp 0
2025-07-31,103,MNP x FIRE,Rp 0
2025-07-31,270,MNP x FIRE2,Rp 0
